ds,y,hl_range,spy_return,volatility_20d,rolling_beta,volume_change,co_range,day_cos,day_sin
2010-10-19,0.0182891926087503,-0.0142656859174481,-0.0046822153530899,0.0180233920955959,1.0479279045536836,0.1278790657878219,0.1532761616708438,0.3090169943749474,0.9510565162951536
2010-10-20,0.0108150817710227,-0.0121224129545903,-0.0021355664784489,0.0182328131682267,1.067174680785822,-0.4146384119196874,0.1756566433544256,-0.8090169943749473,0.5877852522924732
2010-10-21,-0.010588608221988,-0.0170142958764504,0.0124077317124453,0.0181921647991847,1.08189094712745,-0.2358074366664985,0.1792236975437298,-0.8090169943749475,-0.587785252292473
2010-10-22,6.479604238412684e-05,-0.0083904405608982,-0.0007604577074958,0.0180952241679387,1.0869743048051046,-0.324016247778624,0.185151307665929,0.3090169943749472,-0.9510565162951536
2010-10-25,-0.0072082827635657,-0.0089482013084272,0.0069909894476634,0.0180845936646329,1.088771468613787,0.0528035452735944,0.1881379105756169,1.0,0.0
2010-10-26,0.0025385391654589,-0.005529195820844,-0.0087675567944749,0.0180748703565497,1.1411787889225429,0.0011914529304748,0.1804096829578648,0.3090169943749474,0.9510565162951536
2010-10-27,0.0009745945152042,-0.0067734968313921,-0.0017797291563497,0.0175608407866629,1.142842790115433,0.015456203859419,0.1810597140905497,-0.8090169943749473,0.5877852522924732
2010-10-28,-0.0121533671958925,-0.0091724255194681,0.0098755660928251,0.0175569009581809,1.1232637081520145,0.3810710100279997,0.1727634132344651,-0.8090169943749475,-0.587785252292473
2010-10-29,-0.0066287848403354,-0.0162861222670195,-0.0065728625557401,0.0176517879839676,1.1300501748375156,-0.2187455539521554,0.1892432040820893,0.3090169943749472,-0.9510565162951536
2010-11-01,0.0156925269881859,-0.0046988940925047,0.0066568682362651,0.0172369678994045,1.110080725838852,-0.0153817136464742,0.18193468677579,1.0,0.0
2010-11-02,0.0141341031966836,-0.0027036014183665,0.0029351228858593,0.0174391249572628,1.1257152644111936,0.0236873220643507,0.1806029051311494,0.3090169943749474,0.9510565162951536
2010-11-03,0.013018317932914,-0.0002593000076856,0.0021748409901501,0.0168125132597255,1.1294966215206286,0.1714986288110986,0.1734381861619778,-0.8090169943749473,0.5877852522924732
2010-11-04,0.0080197598806879,-0.0060629265114279,0.0132803950527986,0.0169399091272347,1.1077876946161536,0.263873359294531,0.1775675514624218,-0.8090169943749475,-0.587785252292473
2010-11-05,-0.0024874608834401,-0.0077032436982045,0.0087021120516534,0.0169618503483522,1.0623172304666653,-0.4377277085330776,0.1882527619176222,0.3090169943749472,-0.9510565162951536
2010-11-08,0.0120643679600196,-0.0036304656987334,0.0,0.0169646118301118,1.054152836426529,-0.2200528604314093,0.1827337320383579,1.0,0.0
2010-11-09,-0.0138314163628279,-0.0165978137091651,0.0039158425359623,0.0170630964454525,1.034254213845141,0.3612513415749094,0.1837319021854165,0.3090169943749474,0.9510565162951536
2010-11-10,-0.0051927929113252,-0.002360039168202,-0.0101473690354442,0.0172728508255275,1.071579559868861,0.001781281938969,0.1729196125728044,-0.8090169943749473,0.5877852522924732
2010-11-11,0.0031695626894522,-0.0055688147056271,-0.0043687887862804,0.0173509696446514,1.0737817775807112,-0.0597125867195242,0.1806613368797471,-0.8090169943749475,-0.587785252292473
2010-11-12,-0.0241499920869441,-0.0278957712658271,-0.0019018764100645,0.0169039817163797,1.0743755278994476,1.2028287995039912,0.1726849528509997,0.3090169943749472,-0.9510565162951536
2010-11-15,-0.0089225550605782,-0.0114278251045442,-0.0019883839380715,0.0158224223032946,1.1004855186449976,-0.4928596810340885,0.1866945718124849,1.0,0.0
2010-11-16,-0.0148951432438272,-0.0200788150743353,-0.010755937277994,0.0115494172942807,1.094071133709798,0.6294356377259009,0.1807235553005058,0.3090169943749474,0.9510565162951536
2010-11-17,0.0131927532893428,-0.01172080316338,-0.0090948149512956,0.0112202376298608,1.0193459644739171,-0.2709654071314529,0.1788311101652996,-0.8090169943749473,0.5877852522924732
2010-11-18,0.0090351523426209,-0.0040697154695988,0.0096814455516232,0.0113667565401823,0.988130650609252,0.03137264062792,0.1752525395578789,-0.8090169943749475,-0.587785252292473
2010-11-19,-0.0041975695086002,-0.0054710984021749,0.0045139331907453,0.011356951000633,0.94177679972698,-0.221739031958506,0.1838991259159157,0.3090169943749472,-0.9510565162951536
2010-11-22,0.0122179761584149,0.0,-0.0017529874767061,0.011392088015129,0.9223062944473016,0.0213905299612933,0.1612425833046688,1.0,0.0
2010-11-23,0.0049803154975916,-0.0098513911830144,-0.0077162657610307,0.0116064197503592,0.8936298406047349,0.321496751766583,0.1813163367039091,0.3090169943749474,0.9510565162951536
2010-11-24,0.0055614717160687,-0.0019246630190863,0.0036139075072596,0.0116408982853816,0.9760463193298085,-0.2035285176021604,0.1781521005526878,-0.8090169943749473,0.5877852522924732
2010-11-26,0.0055940229982598,-0.0086278786296319,-0.0003355704514659,0.0116916249165599,0.95394930167488,-0.4257405640265568,0.1818986787095392,0.3090169943749472,-0.9510565162951536
2010-11-29,-0.0062317113901618,-0.0019589373525951,-0.0055541980026022,0.0113136377247039,0.9600372938396906,0.8763140527035309,0.1690666746870788,1.0,0.0
2010-11-30,0.0055024695707578,-0.010325881316616,-0.0043978135468447,0.0112983715369635,0.9868794452528024,0.1257843463623287,0.1886081098217021,0.3090169943749474,0.9510565162951536
2010-12-01,0.0071428823882745,-0.0042856852213541,0.0186418496837657,0.0108620809661352,0.9061308021234896,-0.0799174268418556,0.1844145579470017,-0.8090169943749473,0.5877852522924732
2010-12-02,-0.0016389362932055,-0.0026992900488112,0.0082850517435871,0.0105359012761806,0.9297261952870532,0.0023527842290689,0.1774883717586358,-0.8090169943749475,-0.587785252292473
2010-12-03,0.0051286110366088,-0.0038249593007718,0.0077258743421473,0.0101573955868134,0.8906468985449942,-0.260878771196438,0.1855559597477905,0.3090169943749472,-0.9510565162951536
2010-12-06,0.0160641370817362,-0.006846292641839,0.0040037465787836,0.0100610646910072,0.8806934771555993,0.3109939759036144,0.1832495634217102,1.0,0.0
2010-12-07,-0.0129620535876108,-0.0181691555050725,0.0106259278556276,0.0106478268843553,0.9100333529746184,-0.127157056164623,0.189341955172215,0.3090169943749474,0.9510565162951536
2010-12-08,0.0077912090371579,-3.157762310262694e-05,-0.0077758294103478,0.0107528119361676,0.9349360551806696,-0.177590214942241,0.1752247479780549,-0.8090169943749473,0.5877852522924732
2010-12-09,-0.0077286372105911,-0.0085887490818845,0.008017842874913,0.0103934169464679,0.9399204622080236,-0.0863042173652122,0.1869256444847715,-0.8090169943749475,-0.587785252292473
2010-12-10,0.0146582790411781,-0.0015379720694216,0.0013703453720499,0.010486190112254,0.9388522251000324,-0.1075637291297808,0.1824042475513113,0.3090169943749472,-0.9510565162951536
2010-12-13,-0.0081721765186832,-0.0105608644745625,0.0073037256590607,0.0109319123375295,0.9428472604559704,0.6754165155620027,0.1872006796207689,1.0,0.0
2010-12-14,-0.0053917705837699,-0.0070533277483292,-0.0024019470963003,0.0094580930722433,0.9466359688581324,-0.2019200774142617,0.1848868819211032,0.3090169943749474,0.9510565162951536
2010-12-15,0.0034004981895641,-0.0082708740749069,-0.0024880429830483,0.0092725372844845,0.893960804302161,0.188895979578813,0.1853336798748087,-0.8090169943749473,0.5877852522924732
2010-12-16,0.0016803973390267,-0.0042486859822226,-0.0020915632543053,0.0083447387419067,0.8864863113224322,-0.2283212560386474,0.185419312131771,-0.8090169943749475,-0.587785252292473
2010-12-17,-9.332288079577628e-05,-0.0036848524712318,-0.0008055947689418,0.0080092869840808,0.9947868350508214,0.2015285494430967,0.1882683222684423,0.3090169943749472,-0.9510565162951536
2010-12-20,0.0043438025755273,-0.0032681512750932,0.00450304360019,0.0078836871050408,0.9573209571537976,-0.0034083754857477,0.1749830838077902,1.0,0.0
2010-12-21,0.0042017005456187,-0.0005899425206108,0.0028041397853966,0.0077510945224315,0.968133818947954,-0.3351994655745799,0.1817891059800668,0.3090169943749474,0.9510565162951536
2010-12-22,0.0019712173217897,-0.0017308385884902,0.003912693064296,0.0074276670850753,0.9596421804712372,0.0373218284091529,0.1837877334678713,-0.8090169943749473,0.5877852522924732
2010-12-23,-0.006637391302268,-0.0047962229104213,0.0012742597372907,0.0073986242847885,0.9475801317029208,-0.1608158193994019,0.1880973894222141,-0.8090169943749475,-0.587785252292473
2010-12-27,0.009433419481203,-0.0023638262658288,-0.0040674948853711,0.0075934039118739,0.9548544143437572,0.1194619756835091,0.1780996025693322,1.0,0.0
2010-12-28,0.000950711588153,-0.0036608229918479,0.0061347782429354,0.0077510798775633,0.9524810686703484,-0.2957856982739296,0.1881798871791127,0.3090169943749474,0.9510565162951536
