Model,MAE ($),RMSE ($),MAPE (%),Initial Error ($),Final Error ($),Final Error (%)
Naïve,5.051874581579972,6.266286744186251,2.4672407926370283,0.0,13.275671823220847,5.149002255212812
SES,10.270038440099777,11.582098462606274,5.348395569440561,0.530915754661109,20.9058754462246,8.108395661869617
LSTM,17.944989375837174,23.49300601060788,8.46770625415939,0.005983586401271168,66.29020590713287,25.710820835245553
ARIMA,27.943318619766707,30.995849586101542,14.482628025742878,0.16536306901694786,57.59925894136683,22.340015491263532
