Model,Static RMSE,Rolling RMSE,Difference,% Change,Static R²,Rolling R²,Static Dir.Acc,Rolling Dir.Acc
Naïve,0.0204233551430949,0.0253378704088745,0.0049145152657795975,24.0632120988269,-0.9809263482177448,-1.0498992709611223,51.903807615230455,50.7323568575233
SES,0.0149524467175147,0.0182343961592256,0.0032819494417109015,21.94924686049245,-0.0617901123723156,-0.061634618395449,53.106212424849694,51.53129161118508
ARIMA,0.014548111623735,0.017739872993963,0.003191761370227999,21.939351668299643,-0.0051419504789087,-0.0048316646213071,49.8997995991984,51.39813581890812
LSTM,0.014390184494558,0.01782715089522,0.003436966400661998,23.884102403007905,0.0032147494094182,0.0020948074854635,51.25284738041002,51.93621867881549
