Model,RMSE,MAE,MAPE (%),sMAPE (%),R²,Dir. Acc. (%)
LSTM,0.014390184494558051,0.010038051921810608,182910.78973516708,184.00326590603314,0.0032147494094182383,51.252847380410024
ARIMA,0.014548111623735005,0.010365366812711281,82738.29216448126,170.54025948204438,-0.005141950478908752,49.899799599198396
SES,0.01495244671751473,0.01062129628427737,4487204.384573971,150.91507257461294,-0.061790112372315686,53.106212424849694
Naïve,0.020423355143094984,0.014650971519372048,28361769.66113707,143.40848845890318,-0.9809263482177448,51.903807615230455
