Model,MAE ($),RMSE ($),MAPE (%),Initial Error ($),Final Error ($),Final Error (%)
SES,6.041915390629927,7.591162899280499,3.5814735065641043,0.6475152626981071,2.260117781693367,0.8765922892603077
Naïve,13.371451776216672,15.19719580011629,7.182997261824886,0.7442788487855694,29.63518242028104,11.494079030242967
LSTM,33.7182425274516,36.217781042348314,21.814772581891788,0.006577009075044771,18.04574868246496,9.374901640337798
ARIMA,81.34790865408311,86.8553729540862,46.15233592864678,0.288049637245706,88.18733363640598,34.20367615451451
