Model,RMSE,MAE,MAPE (%),R²,Dir. Acc. (%)
ARIMA (Rolling),0.01773987299396302,0.012883627805374984,130.60938203689076,-0.00483166462130713,51.398135818908116
LSTM (Rolling),0.017827150895220006,0.013252533071648967,106.84306010724383,0.0020948074854635346,51.93621867881549
SES (Rolling),0.018234396159225688,0.013150520448433935,185.37229603097393,-0.06163461839544904,51.53129161118508
Naive (Rolling),0.025337870408874585,0.01827487547018392,539.7186066205998,-1.0498992709611223,50.7323568575233
