Date,SPY,AAPL,AMZN,GOOGL,MSFT
2010-01-04,85.27922821044922,6.424605846405029,6.695000171661377,15.576997756958008,23.173341751098633
2010-01-05,85.50495910644531,6.435712814331055,6.734499931335449,15.508401870727539,23.18083381652832
2010-01-06,85.56511688232422,6.33334493637085,6.612500190734863,15.11745548248291,23.038570404052734
2010-01-07,85.92634582519531,6.321637153625488,6.5,14.765528678894043,22.798967361450195
2010-01-08,86.21229553222656,6.363662242889404,6.676000118255615,14.962369918823242,22.956214904785156
2010-01-11,86.33267211914062,6.307526111602783,6.515500068664551,14.939751625061035,22.664201736450195
2010-01-12,85.52753448486328,6.23577880859375,6.367499828338623,14.675559043884277,22.51445770263672
2010-01-13,86.24992370605469,6.3237385749816895,6.45550012588501,14.591304779052734,22.72410774230957
2010-01-14,86.4831771850586,6.287113666534424,6.367499828338623,14.659899711608887,23.18083381652832
2010-01-15,85.51248168945312,6.182043075561523,6.35699987411499,14.415092468261719,23.105955123901367
2010-01-18,85.51248168945312,6.182043075561523,6.35699987411499,14.415092468261719,23.105955123901367
2010-01-19,86.58101654052734,6.455524921417236,6.380499839782715,14.604475975036621,23.285655975341797
2010-01-20,85.70060729980469,6.356160640716553,6.289000034332275,14.425281524658203,22.90380096435547
2010-01-21,84.05265045166016,6.246284484863281,6.330999851226807,14.489156723022461,22.469526290893555
2010-01-22,82.17896270751953,5.936478614807129,6.071499824523926,13.669733047485352,21.683366775512695
2010-01-25,82.60032653808594,6.0961833000183105,6.015500068664551,13.42094898223877,21.952905654907227
2010-01-26,82.25421142578125,6.182343006134033,5.973999977111816,13.481094360351562,22.087677001953125
2010-01-27,82.64550018310547,6.240580081939697,6.137499809265137,13.473140716552734,22.214962005615234
2010-01-28,81.69738006591797,5.9827094078063965,6.301499843597412,13.279033660888672,21.833106994628906
2010-01-29,80.8094253540039,5.765663146972656,6.270500183105469,13.170920372009277,21.099349975585938
2010-02-01,82.06610107421875,5.845818042755127,5.94350004196167,13.247468948364258,21.27155303955078
2010-02-02,83.0593490600586,5.879741668701172,5.906000137329102,13.200246810913086,21.308992385864258
2010-02-03,82.64550018310547,5.980907440185547,5.954999923706055,13.441327095031738,21.43627166748047
2010-02-04,80.0945816040039,5.765362739562988,5.796999931335449,13.092384338378906,20.844772338867188
2010-02-05,80.26011657714844,5.867732048034668,5.869500160217285,13.204472541809082,20.97955322265625
2010-02-08,79.68069458007812,5.8275041580200195,5.8414998054504395,13.258652687072754,20.754924774169922
2010-02-09,80.68151092529297,5.889647006988525,5.901500225067139,13.332468032836914,20.972064971923828
2010-02-10,80.52352905273438,5.8575239181518555,5.868000030517578,13.283010482788086,20.957088470458984
2010-02-11,81.36628723144531,5.964096546173096,6.004499912261963,13.331475257873535,21.054428100585938
2010-02-12,81.29855346679688,6.015429496765137,5.982999801635742,13.249955177307129,20.912166595458984
