Model,Static MAE ($),Rolling MAE ($),MAE Diff ($),Static RMSE ($),Rolling RMSE ($),RMSE Diff ($),Static Final Err (%),Rolling Final Err (%)
Naïve,5.051874581579972,13.371451776216672,8.3195771946367,6.266286744186251,15.19719580011629,8.930909055930039,5.149002255212812,11.494079030242967
SES,10.270038440099777,6.041915390629927,-4.22812304946985,11.582098462606274,7.591162899280499,-3.990935563325775,8.108395661869617,0.8765922892603077
ARIMA,27.943318619766707,81.34790865408311,53.404590034316406,30.995849586101542,86.8553729540862,55.859523367984664,22.340015491263532,34.20367615451451
LSTM,17.944989375837174,33.7182425274516,15.773253151614426,23.49300601060788,36.217781042348314,12.724775031740435,25.710820835245553,9.374901640337798
