Model,Static_RMSE,Rolling_RMSE,RMSE_Diff,RMSE_Change_%,Static_MAE,Rolling_MAE,MAE_Change_%,Static_R²,Rolling_R²,R²_Diff,Static_DirAcc,Rolling_DirAcc,DirAcc_Diff
Naïve,0.0204233551430949,0.0253378704088745,0.0049145152657795975,24.0632120988269,0.014650971519372,0.0182748754701839,24.73490543627264,-0.9809263482177448,-1.0498992709611223,-0.06897292274337752,51.903807615230455,50.7323568575233,-1.1714507577071558
SES,0.0149524467175147,0.0182343961592256,0.0032819494417109015,21.94924686049245,0.0106212962842773,0.0131505204484339,23.812763493855353,-0.0617901123723156,-0.061634618395449,0.0001554939768666011,53.106212424849694,51.53129161118508,-1.5749208136646118
ARIMA,0.014548111623735,0.017739872993963,0.003191761370227999,21.939351668299643,0.0103653668127112,0.0128836278053749,24.29495297335277,-0.0051419504789087,-0.0048316646213071,0.0003102858576016004,49.8997995991984,51.39813581890812,1.4983362197097208
LSTM,0.014390184494558,0.01782715089522,0.003436966400661998,23.884102403007905,0.0100380519218106,0.0132525330716489,32.02295798902875,0.0032147494094182,0.0020948074854635,-0.0011199419239547002,51.25284738041002,51.93621867881549,0.6833712984054756
