model,accuracy_mean,accuracy_std,binom_p_acc_mean,binom_p_acc_std,dir_acc_when_acting_mean,dir_acc_when_acting_std,binom_p_dir_mean,binom_p_dir_std,n_folds
ARIMA,0.3679848132402877,0.03674951659229823,0.23934236103480439,0.31213098284555496,,,,,5
LSTM,0.3971952621587658,0.022675389651876002,0.04680209072206,0.08656507519381519,0.3551214141781554,0.029635748508833288,0.9993403571554857,0.0014514779917612157,5
Majority,0.3504184380096789,0.021218177188057206,0.32199031305711656,0.25042281242877557,0.3634171991836226,0.009336914564587871,0.999995924069549,5.3778607285037115e-06,5
SES,0.3679848132402877,0.03674951659229823,0.23934236103480439,0.31213098284555496,,,,,5
XGBoost,0.37821983369428624,0.02359433925672874,0.11448474446144714,0.1353761738206396,0.36024711564170725,0.026806947382853726,0.9994308316273214,0.0008092719360053899,5
