Feature,Mean,Std,Min,Max,Skewness,Kurtosis,Zeros_%,Unique_Values
log_return,0.000873733648456841,0.018295111142528794,-0.1518742764667698,0.1580131447333442,-0.2343011987293976,6.019770135735531,0.1959686450167973,3566
simple_return,0.0010413732473346137,0.01828718274996109,-0.1409037174281748,0.1711815894761805,-0.014201867045774178,6.164979470900365,0.1959686450167973,3566
return_lag1,0.000883992262894945,0.01830410985418367,-0.1518742764667698,0.1580131447333442,-0.23378188179500078,6.006052254060464,0.1959686450167973,3566
return_lag2,0.0008863347685920832,0.01830587775684937,-0.1518742764667698,0.1580131447333442,-0.23387277237069357,6.002933500882291,0.1959686450167973,3566
return_lag3,0.0008869307830774427,0.01830597545811573,-0.1518742764667698,0.1580131447333442,-0.23396398190944,6.002772417137239,0.1959686450167973,3566
return_lag5,0.0008839645640911956,0.018302618833730126,-0.1518742764667698,0.1580131447333442,-0.23423829834389398,6.008239136744397,0.1959686450167973,3566
return_lag10,0.0008960413610026582,0.018304643320332797,-0.1518742764667698,0.1580131447333442,-0.2350243244587248,6.0055978773059095,0.1959686450167973,3566
price_to_ma7,1.0027428085046557,0.022962125920739436,0.8489268610570102,1.11696495943863,-0.36375769920656675,1.9756380947102574,0.0,3572
price_to_ma21,1.0093101690658521,0.04282029404750164,0.8157886379978683,1.173199717417099,-0.3642547341835913,0.48886106460322765,0.0,3572
price_to_ma50,1.023134849455175,0.06972461815767521,0.7658816022570485,1.3037349777949323,-0.19896953714756926,0.5030907654879919,0.0,3572
price_to_ma200,1.0956675671295537,0.1386272813748086,0.7008419813493717,1.690450289877684,-0.08993707396922743,0.3625292956413708,0.0,3572
volatility_20d,0.016826476929871315,0.007377120271895302,0.004632205899222,0.0564724697584324,1.8714581445267695,6.027902288313477,0.0,3572
volatility_50d,0.017285817829109085,0.006129523510146979,0.0070282518724128,0.0427962277398133,1.5712119631270538,3.136573085478016,0.0,3572
hl_range,-0.009598074506315167,0.009691452869250996,-0.0990789313065378,0.0,-2.137930686322738,7.410250441014673,1.2318029115341544,3529
co_range,0.07281074506218706,0.06563880222696379,-0.0602631029371449,0.1896787480108832,0.37861248944499226,-1.2454441997610382,0.0,3572
rsi_14,55.37899893597348,17.04882928978512,9.891946887838714,96.48586419941816,-0.10655677884090044,-0.678950198381572,0.0,3569
macd,0.4513227936831716,1.791103478456184,-6.687962730561594,9.089833141243531,0.7049268730160648,3.275887347199599,0.0,3572
macd_signal,0.4455129641903701,1.6767601986907061,-5.926600597724842,8.27611269262362,0.7520631933148288,3.2487643957257513,0.0,3572
macd_diff,0.005809829492801515,0.5425529700223671,-3.1783741044681983,2.3728627844503354,-0.4537015549133043,4.937870065397202,0.0,3572
bb_width,0.11589363351989398,0.05290616207124215,0.0245549236916484,0.3425031590568745,1.0049567618064343,1.282853914907495,0.0,3570
bb_position,0.5841129925403188,0.32326371627030237,-0.4228223384167172,1.3591499723584557,-0.34612852775413194,-0.7691620793165654,0.0,3572
volume_change,0.051355986761285485,0.36943760422982697,-0.8300928298270459,5.09052583862194,2.577519832251026,17.95865015423127,0.0,3572
volume_ma20,208212262.5405935,167048325.2385132,37800500.0,807239580.0,1.3988270655444335,1.0891934829342498,0.0,3572
volume_ratio,1.0015126359127466,0.37384275078913465,0.285275707661595,5.245562368559471,2.5512741559204284,13.83508527707155,0.0,3572
price_volume,8434374640.611827,5102614795.296278,1275316735.480499,73286816992.01355,2.2033148106569236,12.289334974243227,0.0,3572
pv_ratio,1.0098247479072078,0.37707099764052526,0.2723457831753612,5.362622529972189,2.640830313485304,14.639061041701083,0.0,3572
day_of_week,2.02491601343785,1.3993620255797157,0.0,4.0,-0.013057154251383304,-1.2759319585241182,18.673012318029116,5
month,6.607502799552072,3.4474784280534068,1.0,12.0,-0.0332014165139168,-1.213147828776171,0.0,12
quarter,2.534434490481523,1.1204127431949487,1.0,4.0,-0.03892614097503961,-1.3640797493109293,0.0,4
day_of_month,15.73208286674132,8.750894714483113,1.0,31.0,0.01757939246313676,-1.1812948189818548,0.0,31
week_of_year,26.92273236282195,15.04572210322362,1.0,53.0,-0.02722228597430832,-1.2125221481176132,0.0,53
day_sin,0.006070140547575547,0.7129662570031616,-0.9510565162951536,0.9510565162951536,-0.013183075720119489,-1.5241713732376074,18.673012318029116,5
day_cos,-0.016743845743106122,0.7011717750843264,-0.8090169943749475,1.0,0.023298206302530825,-1.4915644608177243,0.0,5
month_sin,-0.014274301139052401,0.7053764373980012,-1.0,1.0,0.03858861505978621,-1.4913502114169408,0.0,11
month_cos,0.002417126146756812,0.7088825419640317,-1.0,1.0,0.0011502373171730505,-1.5028573930015665,0.0,11
spy_return,0.0004547431144857877,0.010261068289189205,-0.092109082376094,0.0615549817272181,-0.8475859994094088,7.99941568393548,0.41993281075027994,3556
relative_return,0.0004189905339710468,0.013818148265489355,-0.1009821685812747,0.1165364631221097,-0.10439679039930826,6.9636959819537,0.027995520716685332,3572
market_corr_30d,0.6132718300953035,0.196559322686125,-0.274440801316663,0.9673449690461978,-0.6252015000368552,-0.01624486902399047,0.0,3572
rolling_beta,1.2053703182467155,0.3475517617554379,-0.0371206527964968,2.2889581715603478,-0.05677483516323364,0.6836660070481142,0.0,3572
