Date,Adj Close,target_return,target_price,co_range,day_cos,day_of_week,day_sin,hl_range,log_return,month_cos,return_lag2,return_lag5,rolling_beta,spy_return,volatility_20d,volume_change
2010-10-19,10.83571434020996,0.0182891926087503,11.035714149475098,0.1532761616708438,0.3090169943749474,1,0.9510565162951536,-0.0142656859174481,-0.0484762468770808,0.5000000000000001,0.0188798963665662,0.0022705263346419,1.0479279045536836,-0.0046822153530899,0.0180233920955959,0.1278790657878219
2010-10-20,11.035714149475098,0.0108150817710227,11.15571403503418,0.1756566433544256,-0.8090169943749473,2,0.5877852522924732,-0.0121224129545903,0.0182891926087503,0.5000000000000001,0.0352484142548702,0.0160847515703395,1.067174680785822,-0.0021355664784489,0.0182328131682267,-0.4146384119196874
2010-10-21,11.15571403503418,-0.010588608221988,11.038213729858398,0.1792236975437298,-0.8090169943749475,3,-0.587785252292473,-0.0170142958764504,0.0108150817710227,0.5000000000000001,-0.0484762468770808,0.0049510610441704,1.08189094712745,0.0124077317124453,0.0181921647991847,-0.2358074366664985
2010-10-22,11.038213729858398,6.479604238412684e-05,11.038928985595703,0.185151307665929,0.3090169943749472,4,-0.9510565162951536,-0.0083904405608982,-0.010588608221988,0.5000000000000001,0.0182891926087503,0.0188798963665662,1.0869743048051046,-0.0007604577074958,0.0180952241679387,-0.324016247778624
2010-10-25,11.038928985595703,-0.0072082827635657,10.959643363952637,0.1881379105756169,1.0,0,0.0,-0.0089482013084272,6.479604238412684e-05,0.5000000000000001,0.0108150817710227,0.0352484142548702,1.088771468613787,0.0069909894476634,0.0180845936646329,0.0528035452735944
2010-10-26,10.959643363952637,0.0025385391654589,10.987500190734863,0.1804096829578648,0.3090169943749474,1,0.9510565162951536,-0.005529195820844,-0.0072082827635657,0.5000000000000001,-0.010588608221988,-0.0484762468770808,1.1411787889225429,-0.0087675567944749,0.0180748703565497,0.0011914529304748
2010-10-27,10.987500190734863,0.0009745945152042,10.998213768005373,0.1810597140905497,-0.8090169943749473,2,0.5877852522924732,-0.0067734968313921,0.0025385391654589,0.5000000000000001,6.479604238412684e-05,0.0182891926087503,1.142842790115433,-0.0017797291563497,0.0175608407866629,0.015456203859419
2010-10-28,10.998213768005373,-0.0121533671958925,10.865357398986816,0.1727634132344651,-0.8090169943749475,3,-0.587785252292473,-0.0091724255194681,0.0009745945152042,0.5000000000000001,-0.0072082827635657,0.0108150817710227,1.1232637081520145,0.0098755660928251,0.0175569009581809,0.3810710100279997
2010-10-29,10.865357398986816,-0.0066287848403354,10.793571472167969,0.1892432040820893,0.3090169943749472,4,-0.9510565162951536,-0.0162861222670195,-0.0121533671958925,0.5000000000000001,0.0025385391654589,-0.010588608221988,1.1300501748375156,-0.0065728625557401,0.0176517879839676,-0.2187455539521554
2010-11-01,10.793571472167969,0.0156925269881859,10.964285850524902,0.18193468677579,1.0,0,0.0,-0.0046988940925047,-0.0066287848403354,0.8660254037844384,0.0009745945152042,6.479604238412684e-05,1.110080725838852,0.0066568682362651,0.0172369678994045,-0.0153817136464742
2010-11-02,10.964285850524902,0.0141341031966836,11.120356559753418,0.1806029051311494,0.3090169943749474,1,0.9510565162951536,-0.0027036014183665,0.0156925269881859,0.8660254037844384,-0.0121533671958925,-0.0072082827635657,1.1257152644111936,0.0029351228858593,0.0174391249572628,0.0236873220643507
2010-11-03,11.120356559753418,0.013018317932914,11.266071319580078,0.1734381861619778,-0.8090169943749473,2,0.5877852522924732,-0.0002593000076856,0.0141341031966836,0.8660254037844384,-0.0066287848403354,0.0025385391654589,1.1294966215206286,0.0021748409901501,0.0168125132597255,0.1714986288110986
2010-11-04,11.266071319580078,0.0080197598806879,11.356785774230955,0.1775675514624218,-0.8090169943749475,3,-0.587785252292473,-0.0060629265114279,0.013018317932914,0.8660254037844384,0.0156925269881859,0.0009745945152042,1.1077876946161536,0.0132803950527986,0.0169399091272347,0.263873359294531
2010-11-05,11.356785774230955,-0.0024874608834401,11.328571319580078,0.1882527619176222,0.3090169943749472,4,-0.9510565162951536,-0.0077032436982045,0.0080197598806879,0.8660254037844384,0.0141341031966836,-0.0121533671958925,1.0623172304666653,0.0087021120516534,0.0169618503483522,-0.4377277085330776
2010-11-08,11.328571319580078,0.0120643679600196,11.466071128845217,0.1827337320383579,1.0,0,0.0,-0.0036304656987334,-0.0024874608834401,0.8660254037844384,0.013018317932914,-0.0066287848403354,1.054152836426529,0.0,0.0169646118301118,-0.2200528604314093
2010-11-09,11.466071128845217,-0.0138314163628279,11.308570861816406,0.1837319021854165,0.3090169943749474,1,0.9510565162951536,-0.0165978137091651,0.0120643679600196,0.8660254037844384,0.0080197598806879,0.0156925269881859,1.034254213845141,0.0039158425359623,0.0170630964454525,0.3612513415749094
2010-11-10,11.308570861816406,-0.0051927929113252,11.25,0.1729196125728044,-0.8090169943749473,2,0.5877852522924732,-0.002360039168202,-0.0138314163628279,0.8660254037844384,-0.0024874608834401,0.0141341031966836,1.071579559868861,-0.0101473690354442,0.0172728508255275,0.001781281938969
2010-11-11,11.25,0.0031695626894522,11.285714149475098,0.1806613368797471,-0.8090169943749475,3,-0.587785252292473,-0.0055688147056271,-0.0051927929113252,0.8660254037844384,0.0120643679600196,0.013018317932914,1.0737817775807112,-0.0043687887862804,0.0173509696446514,-0.0597125867195242
2010-11-12,11.285714149475098,-0.0241499920869441,11.01642894744873,0.1726849528509997,0.3090169943749472,4,-0.9510565162951536,-0.0278957712658271,0.0031695626894522,0.8660254037844384,-0.0138314163628279,0.0080197598806879,1.0743755278994476,-0.0019018764100645,0.0169039817163797,1.2028287995039912
2010-11-15,11.01642894744873,-0.0089225550605782,10.918571472167969,0.1866945718124849,1.0,0,0.0,-0.0114278251045442,-0.0241499920869441,0.8660254037844384,-0.0051927929113252,-0.0024874608834401,1.1004855186449976,-0.0019883839380715,0.0158224223032946,-0.4928596810340885
2010-11-16,10.918571472167969,-0.0148951432438272,10.757143020629885,0.1807235553005058,0.3090169943749474,1,0.9510565162951536,-0.0200788150743353,-0.0089225550605782,0.8660254037844384,0.0031695626894522,0.0120643679600196,1.094071133709798,-0.010755937277994,0.0115494172942807,0.6294356377259009
2010-11-17,10.757143020629885,0.0131927532893428,10.899999618530272,0.1788311101652996,-0.8090169943749473,2,0.5877852522924732,-0.01172080316338,-0.0148951432438272,0.8660254037844384,-0.0241499920869441,-0.0138314163628279,1.0193459644739171,-0.0090948149512956,0.0112202376298608,-0.2709654071314529
2010-11-18,10.899999618530272,0.0090351523426209,10.998929023742676,0.1752525395578789,-0.8090169943749475,3,-0.587785252292473,-0.0040697154695988,0.0131927532893428,0.8660254037844384,-0.0089225550605782,-0.0051927929113252,0.988130650609252,0.0096814455516232,0.0113667565401823,0.03137264062792
2010-11-19,10.998929023742676,-0.0041975695086002,10.95285701751709,0.1838991259159157,0.3090169943749472,4,-0.9510565162951536,-0.0054710984021749,0.0090351523426209,0.8660254037844384,-0.0148951432438272,0.0031695626894522,0.94177679972698,0.0045139331907453,0.011356951000633,-0.221739031958506
2010-11-22,10.95285701751709,0.0122179761584149,11.087499618530272,0.1612425833046688,1.0,0,0.0,0.0,-0.0041975695086002,0.8660254037844384,0.0131927532893428,-0.0241499920869441,0.9223062944473016,-0.0017529874767061,0.011392088015129,0.0213905299612933
2010-11-23,11.087499618530272,0.0049803154975916,11.14285659790039,0.1813163367039091,0.3090169943749474,1,0.9510565162951536,-0.0098513911830144,0.0122179761584149,0.8660254037844384,0.0090351523426209,-0.0089225550605782,0.8936298406047349,-0.0077162657610307,0.0116064197503592,0.321496751766583
